APA,1.24
AVA,0.46
BMY,0.89
CHK,2.11
CPB,0.4
CPK,0.45
DGX,0.67
DVN,2.16
ETFC,1.69
FCX,2.42
FDP,0.3
FTI,0.92
HAR,1.67
HES,1.8
JNJ,0.75
MS,1.86
RSG,0.62
WDC,1.47
WEC,0.06
WMB,1.22
